연번,상호명,업종,연락처,자치구,소재지,판매메뉴
115,닥터로빈 (여의도부국),양식,0507-1401-3144,영등포구,서울 영등포구 국제금융로6길 17 부국증권빌딩 1층,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
116,닥터로빈 (이대),양식,02-363-3101,서대문구,서울 서대문구 이화여대길 52,"머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
117,닥터로빈 (흑석),양식,02-3280-3103,동작구,"서울 동작구 현충로 124 1, 2F","머쉬룸 샐러드(비건), 리코타치즈&구운가지피자(락토), 시금치 에그 피자(오보), 마르게리따 피자(락토), 매콤버섯 새우 크림파스타(페스코), 할라피뇨 버섯 크림 파스타(비건), 알리오올리오(비건), 버섯 크림 리조또(비건), 단호박 콩크림 스프(비건)"
118,닥터비건,카페,02-543-2030,강남구,서울특별시 강남구 도산대로68길 25,"6미 샌드위치(비건), 생과일주스(비건), 과일에이드(비건)"
119,대두네순두부,한식,,금천구,서울 금천구 가산디지털1로 131,"백순두부(비건), 즉석 모두부(비건)"
120,더 로 바이 트윈스,베이커리,070-8866-0986,마포구,서울 마포구 포은로2가길 6,"PBJ (비건), MUSHROOM MEDLEY (비건), SMASHED AVO (비건), TOFU VEGE BENY (비건), BANOFFEE TART (비건), TIRAMISU (비건), RASPBERRY PISTACHIO CAKE (비건), CHOCOLATE HAZELNUT CARAMEL CAKE (비건), RAW DONUT (비건), GREENTEA & STRAWBERRY JAM RAW DONUT (비건), BLACK SESAME & CHERRY JAM RAW DONUT (비건)"
121,더담백,베이커리,02-942-0186,성북구,서울 성북구 화랑로 210-6,"모든 빵 계란 사용 안함(락토), 일부 빵 비건(비건)"
122,더드림,한식,02-508-6777,강남구,서울 강남구 강남대로78길 25,"강된장 비빔밥(비건), 김치순두부(페스코)"
123,더드림 (본점),한식,02-567-4323,강남구,서울 강남구 언주로85길 13,강된장 비빔밥(비건)
124,더로열푸드앤드링크,양식,070-7774-4168,용산구,서울 용산구 신흥로20길 37,"두유요거트볼(비건), 두부스크램블 플레이트(비건), 템페하머스 플레이트(비건), 템페하머스 샌드위치(비건), 베지하머스 샌드위치(비건)"
125,더멜팅팟,양식,02-877-1083,관악구,서울 관악구 관악로14가길 2,"그린페스토 샐러드(비건), 과카몰레 프라이스(일반식,비건가능), 나초with과카몰레(일반식,비건가능), 그릴드 치즈 샌드위치(락토)"
126,더벨로 (개포),베이커리,02-576-0045,강남구,서울 강남구 선릉로 30,"우리밀 바게트(비건), 무화과 통밀빵(비건), 건포토 통밀빵(비건), 크랜베리 호밀빵(비건), 호두바게트(비건), 메밀치아바타(비건), 올리브치아바타(비건)"
127,더벨로 (양재),베이커리,070-4226-3976,서초구,서울 서초구 마방로6길 21,"우리밀 바게트(비건), 무화과 통밀빵(비건), 건포토 통밀빵(비건), 크랜베리 호밀빵(비건), 호두바게트(비건), 메밀치아바타(비건), 올리브치아바타(비건)"
128,더브레드블루 (서초),카페,070-4128-0721,서초구,서울시 서초구 서초중앙로8길 17,"TBB 비건미트 피자(비건), 레몬 스콘(비건), 맘모스빵(비건), 녹차머핀(비건), 블루베리머핀(비건), 초코머핀(비건), 통밀천연발효종(비건), 소보루팥팥(비건), 통밀 바게트(비건), 감자 포카치아(비건), 홀 케이크(비건), 쌀낭시에(비건), 치아바타(비건), 렛츠귀리(비건), 올리브 쌀빵(비건), 동호가만든현미빵(비건), 100%통밀/호밀(비건), 통밀단팥빵(비건), 식빵(비건), 갈릭바게트(비건), 고구마바게트(비건), 플레인/딸기/초코 도지마(비건), 두부라우니(비건), 흑미 초코쿠키(비건), 비건버거(비건), 모닝빵(비건), 조각케이크(비건), 통밀사과빵(비건), 말차 스콘(비건), 초코 스콘(비건), 마카롱(비건), 렛츠 귀리(비건), 비건 버거(비건), 달달호구마 타르트(비건), 유자가생강나 타르트(비건), 바나나촉촉타르트(비건), 롤케이크(비건), 상큼한 4녀석들(비건), 치아바타(비건), 비건 번(비건), 스노우볼 쿠키(비건), 비건버터쿠키(비건), 초코칩쿠키(비건)"
129,더브레드블루 (신촌),베이커리,070-4128-0720,마포구,서울 마포구 신촌로12다길 3,"TBB 비건미트 피자(비건), 레몬 스콘(비건), 맘모스빵(비건), 녹차머핀(비건), 블루베리머핀(비건), 초코머핀(비건), 통밀천연발효종(비건), 소보루팥팥(비건), 통밀 바게트(비건), 감자 포카치아(비건), 홀 케이크(비건), 쌀낭시에(비건), 치아바타(비건), 렛츠귀리(비건), 올리브 쌀빵(비건), 동호가만든현미빵(비건), 100%통밀/호밀(비건), 통밀단팥빵(비건), 식빵(비건), 갈릭바게트(비건), 고구마바게트(비건), 플레인/딸기/초코 도지마(비건), 두부라우니(비건), 흑미 초코쿠키(비건), 비건버거(비건), 모닝빵(비건), 조각케이크(비건), 통밀사과빵(비건), 말차 스콘(비건), 초코 스콘(비건), 마카롱(비건), 렛츠 귀리(비건), 비건 버거(비건), 달달호구마 타르트(비건), 유자가생강나 타르트(비건), 바나나촉촉타르트(비건), 롤케이크(비건), 상큼한 4녀석들(비건), 치아바타(비건), 비건 번(비건), 스노우볼 쿠키(비건), 비건버터쿠키(비건), 초코칩쿠키(비건)"
130,델리인디아,인도/중동,02-2631-2109,마포구,서울 마포구 독막로9길 8 2층,"빠니르 마카니(비건), 빨락 빠니르(비건), 차나 마살라(비건), 알루 고비(비건), 빨락 알루(비건), 알루 머터(비건), 달 마카니(비건)"
131,도란도란,양식,0507-1406-3723,성북구,서울 성북구 북악산로 1059 2층,"당근과 샐러리 고추장파스타(비건),참나물 알리오올리오(비건),아보카도 구운야채비빔밥(비건),아보카도 트리플베리 샐러드파스타(비건),일본식 구운가지카레(비건)"
132,도스타코스 (강남역),양식,02-593-5904,서초구,서울 서초구 강남대로 455,"소프트 타코(락토,비건가능), 야채 치폴레 살사 부리또 볼(락토,비건가능), 리프라이드 빈 부리또(락토,비건가능), 감자 부리또(락토,비건가능), 야채 부리또(락토,비건가능), 볶은 야채 부리또(락토,비건가능)"
133,도스타코스 (서울대입구역),양식,02-889-5904,관악구,서울 관악구 관악로14길 6,"소프트 타코(락토,비건가능), 야채 치폴레 살사 부리또 볼(락토,비건가능), 리프라이드 빈 부리또(락토,비건가능), 감자 부리또(락토,비건가능), 야채 부리또(락토,비건가능), 볶은 야채 부리또(락토,비건가능)"
134,도스타코스 (선릉),양식,02-555-4731,강남구,서울 강남구 테헤란로69길 10,"소프트 타코(락토,비건가능), 야채 치폴레 살사 부리또 볼(락토,비건가능), 리프라이드 빈 부리또(락토,비건가능), 감자 부리또(락토,비건가능), 야채 부리또(락토,비건가능), 볶은 야채 부리또(락토,비건가능)"
135,도스타코스 (성균관대),양식,02-3676-3358,종로구,서울 종로구 창경궁로29길 5,"소프트 타코(락토,비건가능), 야채 치폴레 살사 부리또 볼(락토,비건가능), 리프라이드 빈 부리또(락토,비건가능), 감자 부리또(락토,비건가능), 야채 부리또(락토,비건가능), 볶은 야채 부리또(락토,비건가능)"
136,도스타코스 (송파),양식,02-417-3677,송파구,서울 송파구 올림픽로 119,"소프트 타코(락토,비건가능), 야채 치폴레 살사 부리또 볼(락토,비건가능), 리프라이드 빈 부리또(락토,비건가능), 감자 부리또(락토,비건가능), 야채 부리또(락토,비건가능), 볶은 야채 부리또(락토,비건가능)"
137,도스타코스 (시청배달),양식,02-754-0201,중구,서울 중구 서소문로 115,"소프트 타코(락토,비건가능), 야채 치폴레 살사 부리또 볼(락토,비건가능), 리프라이드 빈 부리또(락토,비건가능), 감자 부리또(락토,비건가능), 야채 부리또(락토,비건가능), 볶은 야채 부리또(락토,비건가능)"
138,도스타코스 (종로),양식,02-737-9127,종로구,서울 종로구 삼일대로15길 13,"소프트 타코(락토,비건가능), 야채 치폴레 살사 부리또 볼(락토,비건가능), 리프라이드 빈 부리또(락토,비건가능), 감자 부리또(락토,비건가능), 야채 부리또(락토,비건가능), 볶은 야채 부리또(락토,비건가능)"
139,도스타코스 (한남),양식,02-797-8525,용산구,서울 용산구 한남대로18길 26,"소프트 타코(락토,비건가능), 야채 치폴레 살사 부리또 볼(락토,비건가능), 리프라이드 빈 부리또(락토,비건가능), 감자 부리또(락토,비건가능), 야채 부리또(락토,비건가능), 볶은 야채 부리또(락토,비건가능)"
140,두란 (롯데백화점 영등포),한식,02-2164-6022,영등포구,서울 영등포구 경인로 846,"들깨순두부(비건), 곤드레정식(비건), 순두부와 청국장 웰빙야채 정식(페스코), 순두부와 강된장 웰빙야채 정식(페스코)"
141,두르가 (여의도),인도/중동,02-785-4786,영등포구,서울 영등포구 국제금융로2길 37,"그린 샐러드(비건), 사모사 (비건), 베지터블 파코다(비건), 파파드 프라이 또는 드라이(비건), 머설라 파파드(비건), 삐로 알루(비건), 베지터블 차우면(비건), 알루 머터(비건), 알루 고비(비건), 믹스 베지터블 커리(비건), 달 마카니(락토), 달 타드카(비건), 난(비건), 버터 난(락토), 갈릭 난(락토), 파니르 난(락토), 양파 난(락토), 플래인 라이스(비건), 베지터블 브리아니(비건)"
142,두르가 (종각),인도/중동,02-720-4786,종로구,서울 종로구 종로8길 5,"그린 샐러드(비건), 사모사 (비건), 베지터블 파코다(비건), 파파드 프라이 또는 드라이(비건), 머설라 파파드(비건), 삐로 알루(비건), 베지터블 차우면(비건), 알루 머터(비건), 알루 고비(비건), 믹스 베지터블 커리(비건), 달 마카니(락토), 달 타드카(비건), 난(비건), 버터 난(락토), 갈릭 난(락토), 파니르 난(락토), 양파 난(락토), 플래인 라이스(비건), 베지터블 브리아니(비건)"
143,두르가 (종로1가),인도/중동,02-733-4786,종로구,서울 종로구 종로 19,"그린 샐러드(비건), 사모사 (비건), 베지터블 파코다(비건), 파파드 프라이 또는 드라이(비건), 머설라 파파드(비건), 삐로 알루(비건), 베지터블 차우면(비건), 알루 머터(비건), 알루 고비(비건), 믹스 베지터블 커리(비건), 달 마카니(락토), 달 타드카(비건), 난(비건), 버터 난(락토), 갈릭 난(락토), 파니르 난(락토), 양파 난(락토), 플래인 라이스(비건), 베지터블 브리아니(비건)"
144,두부공작소 사당직영점,한식,02-587-3646,관악구,서울 관악구 남현2길 4,"건강 백순두부(비건), 생생 버섯 순두부찌개(일반식,비건가능), 뜨거운 콩국수(비건), 콩죽(비건), 순두부 새싹비빔밥(비건), 김가루 순두부(비건), 두부공작소 콩국수(오보), 즉석두부 반접시(비건), 즉석두부 한접시(비건), 두부구이(비건), 두부참깨드레싱샐러드(비건), 즉석두유한잔(비건), 즉석순두부한그릇(비건)"
145,두부공작소 신사직영점,한식,02-6339-3646,강남구,서울 강남구 강남대로160길 21,"건강 백순두부(비건), 생생 버섯 순두부찌개(일반식,비건가능), 뜨거운 콩국수(비건), 콩죽(비건), 순두부 새싹비빔밥(비건), 김가루 순두부(비건), 두부공작소 콩국수(오보), 즉석두부 반접시(비건), 즉석두부 한접시(비건), 두부구이(비건), 두부참깨드레싱샐러드(비건), 즉석두유한잔(비건), 즉석순두부한그릇(비건)"
146,두잉,카페,02-544-5752,강남구,서울 강남구 삼성로 654 B01호,"카페라떼(비건), 아인슈페너(비건), 대추생강차(비건), 소이밀크티(비건), 오곡라떼(비건), 초코라떼(비건), 녹차라떼(비건), 제철 유기농 과일 스무디(비건), 여성 농민의 밭(비건), 와플(비건), 와플 (비건), 젤라또 와플(비건), 맥주+감자튀김/비건육포(비건)"
147,두화당 (남영),카페,02-718-8334,용산구,서울 용산구 백범로87길 25,"클래식 두유(비건), 콩비지 쌀스콘(비건), 소이 라떼(비건), 흑당 버블 아이스크림(비건), 흑당 버블 소이 밀크(비건), 흑당 버블 라떼(비건), 흑당 버블 그린밀크티(비건), 흑당 버블 소이 밀크티(비건), 흑당 버블 크림 빙수(비건), 두유 푸딩 아라모드(비건), 딸기 두유(비건), 쑥 두유(비건), 소이 플랫 화이트(비건), 수제 소이 밀크티(비건)"
148,뒤주르,술집,02-733-8893,종로구,서울 종로구 경희궁2길 9-3,"통밀스콘(비건), 잉글리시 크림티set(비건), 쇼콜라 사블레(비건), 콩가루 쿠키(비건), 당큰 컵케이크(비건), 단호박 통밀 파운드(비건), 후무스&샐러드플레이트(비건), 루꼴라 마르게리타(비건)"
149,드도트,카페,02-794-2419,용산구,서울특별시 용산구 용산동2가 47-1 1층,밤쌀식빵(비건)
150,들풀 (서교동),한식,02-325-7224,마포구,서울 마포구 동교로 156-5,"정선 곤드레 돌솥 정식 (페스코,비건가능), 더덕 정식 (페스코,비건가능), 양구 시래기밥 정식 (페스코,비건가능)"
151,등꺼비 식당,한식,02-882-2253,관악구,서울 관악구 대학14길 18 104호,"올리브오일 야채구이(비건),곤드레밥(비건)"
152,디마떼오,양식,02-747-4444,종로구,서울 종로구 동숭길 29,"마리나라- 토마토소스, 마늘, 오레가노(비건)"
153,디어그린,양식,02-2225-8601,강동구,서울 강동구 천호대로 1005 현대백화점천호점 지하 2층,"비욘드미트 비건 샐러드(비건), 락토 샐러드(락토)"
154,디어브레드 (고대),베이커리,070-7661-4129,성북구,서울 성북구 개운사1길 29,"바게트 플레인(비건), 크렌베리 바게트(비건), 호밀 70% 빵(비건), 호밀 100% 빵(비건)"
